User,Shifting_Congruent_RT_Diff,Shifting_Incongruent_RT_Diff,Shifting_Congruent_FA_Diff,Shifting_Incongruent_FA_Diff,Memory_Hits_Diff,Memory_PR_Diff,Memory_Attempts_Diff,Memory_FA_Diff,Memory_Return_Efficiency_Diff
401,0.45022686388201066,0.35469880145189314,0.0,-0.03333333333333341,-0.1404327048965698,-0.13246137640449435,-0.1607142857142857,-0.11613636363636369,0.24584471034881705
492,-0.06459999616168177,-0.04756160829032008,0.0,9.71445146547012e-17,-0.0150235663786331,0.014393939393939292,0.0,-0.038143939393939404,0.11794294366612024
506,0.16224633132092536,0.1348646432820882,0.0,-0.14999999999999988,0.0460526315789473,0.04547050561797761,0.03125,0.0441666666666667,-0.10674201251646909
505,0.18074568236975738,0.1642770388887339,0.0,0.0,-0.028328750981932403,-0.0028909176029962014,-0.0133928571428572,-0.052500000000000005,0.05143758746014282
503,0.11611358560305657,0.07225624956100718,0.0,-0.0625,0.0394736842105263,-0.014914772727272707,0.03125,0.09564393939393939,-0.18180588351042892
502,-0.04795528956807829,-0.03363828209616079,0.0,-0.0833333333333334,-0.032894736842105296,-0.0326544943820225,-0.03125,-0.0391666666666667,0.08175539361001327
501,-0.09288440654560282,-0.1162012674646718,-0.15625,-0.375,-0.0441869599371563,0.196875,-0.03125,-0.2054166666666668,0.24368037806968001
500,-0.004025317350149993,-0.024941636992842686,0.0,-0.0625,0.0,0.015262172284644215,0.03125,-0.0183333333333333,0.010595086781206242
499,0.2721430719118531,0.1236828366205916,0.0,0.045833333333333295,-0.0414866457187745,-0.20942447650663948,-0.0446428571428572,0.09553030303030309,-0.22252941019561912
498,0.01872421538234148,-0.052158841432012104,0.0,-0.125,-0.0592105263157894,-0.023626893939393878,-0.0625,-0.11647727272727279,0.17064132104454688
497,0.18572559522282678,0.140136715920186,0.0416666666666666,-0.0208333333333333,0.0394736842105263,0.041871488764044895,0.03125,0.0366666666666667,-0.07887013040483892
496,-0.05163570598911621,-0.10826198040447366,-0.0729166666666666,-0.23333333333333328,0.0,0.025221314266258066,-0.03125,-0.0084469696969697,0.017934289795795144
494,0.05421457599005142,0.031232108557341903,0.39136904761904767,0.08750000000000002,0.004274679235402,0.05075810776302353,-0.03125,0.021439393939393897,-0.02260902761556105
490,-0.05255370053853192,-0.018468106679853602,0.0,-0.0625,0.0394736842105263,0.03765800561797761,0.0,0.0441666666666667,-0.11022769381063591
470,0.1277478007107976,0.07460872987462769,0.0,-0.008333333333333401,0.0,-0.10280898876404498,0.0,0.0987500000000001,-0.10786679912731811
489,0.24420300098445608,0.1800222537906614,0.0,0.0625,0.0357423409269443,0.036253511235955105,0.03125,0.03666666666666671,-0.053639906974887186
487,0.1582366757802553,0.13233996212051433,0.0416666666666666,-0.075,0.0986842105263157,0.0854166666666667,0.09375,0.1354166666666666,-0.14002099440149296
486,0.08974555251967098,0.13529486479204594,-0.0624999999999999,0.0958333333333333,0.0,0.0,0.0,0.0,0.0
485,0.18229230513646827,0.2132722141878866,0.125,0.0041666666666666935,0.0,-0.012989445011917011,0.0178571428571428,0.0234469696969697,-0.025515241671119182
481,0.05376011560306626,-0.043965266690538574,0.0,0.0,-0.0592105263157894,-0.05165719696969706,-0.0625,-0.0842803030303031,0.11435371863799282
480,-0.06093989251679027,-0.00781927721475989,0.0,0.0208333333333333,0.0,0.002808988764044895,0.0,-0.0049999999999999975,0.031066683919944715
478,0.04788352400886109,0.07444913567271993,-0.0416666666666666,-0.02500000000000001,0.0,-0.021101464078992216,0.0,0.0379166666666666,-0.07108694086856338
477,0.1463354891494207,0.05742006119967702,0.0,0.029166666666666674,0.0198841319717204,0.02514523748723191,0.0133928571428572,0.022803030303030297,-0.004720203223821606
475,0.08694586546877092,0.0931697405759436,0.0,0.0,0.0394736842105263,-0.08022376149131771,0.03125,0.176780303030303,-0.28070490870021525
474,-0.07668035875623153,0.004378272985962495,0.03125,-0.1750000000000001,0.0,-0.039583333333333415,0.0,0.0416666666666666,-0.06602822580645162
